season,player,nation,pos,age,mp,starts,min,goals,assists
2009-2010,Thiago Alcántara,es ESP,MF,18.0,1,0,15,1,0
2009-2010,Víctor Valdés,es ESP,GK,27.0,38,38,3420,0,0
2009-2010,Sergio Busquets,es ESP,MF,21.0,33,26,2324,0,1
2009-2010,Maxwell,br BRA,DF,27.0,25,25,2162,0,3
2009-2010,Éric Abidal,fr FRA,DF,29.0,17,15,1410,0,2
2009-2010,Dmytro Chygrynskiy,ua UKR,DF,22.0,12,10,876,0,0
2009-2010,Gabriel Milito,ar ARG,DF,28.0,11,9,784,0,0
2009-2010,Jonathan dos Santos,mx MEX,MF,19.0,3,1,114,0,0
2009-2010,Marc Bartra,es ESP,DF,18.0,1,0,30,0,0
2009-2010,Andreu Fontàs,es ESP,DF,19.0,1,0,6,0,0
2010-2011,Lionel Messi,ar ARG,"FW,MF",23.0,33,31,2858,31,19
2010-2011,David Villa,es ESP,"FW,MF",28.0,34,32,2744,18,6
2010-2011,Pedro,es ESP,"FW,MF",23.0,33,24,2126,13,9
2010-2011,Andrés Iniesta,es ESP,MF,26.0,34,32,2786,8,4
2010-2011,Bojan Krkić,es ESP,"FW,MF",19.0,27,9,949,6,2
2010-2011,Gerard Piqué,es ESP,DF,23.0,31,29,2649,3,1
2010-2011,Xavi,es ESP,MF,30.0,31,29,2451,3,11
2010-2011,Seydou Keita,ml MLI,MF,30.0,35,15,1558,3,2
2010-2011,Dani Alves,br BRA,"DF,MF",27.0,35,31,2905,2,14
2010-2011,Thiago Alcántara,es ESP,MF,19.0,12,6,666,2,0
2010-2011,Sergio Busquets,es ESP,MF,22.0,28,25,2300,1,2
2010-2011,Carles Puyol,es ESP,DF,32.0,17,17,1381,1,0
2010-2011,Ibrahim Afellay,nl NED,"FW,MF",24.0,16,7,669,1,0
2010-2011,Jeffrén Suárez,ve VEN,"FW,MF",22.0,8,4,305,1,1
2010-2011,Marc Bartra,es ESP,DF,19.0,2,2,180,1,0
2010-2011,Víctor Valdés,es ESP,GK,28.0,32,32,2880,0,0
2010-2011,Éric Abidal,fr FRA,DF,30.0,26,23,2023,0,0
2010-2011,Maxwell,br BRA,DF,28.0,25,19,1820,0,1
2010-2011,Javier Mascherano,ar ARG,"DF,MF",26.0,27,18,1542,0,0
2010-2011,Adriano,br BRA,"DF,MF",25.0,14,11,937,0,1
2010-2011,Gabriel Milito,ar ARG,DF,29.0,10,8,645,0,0
2010-2011,José Manuel Pinto,es ESP,GK,34.0,6,6,540,0,0
2010-2011,Andreu Fontàs,es ESP,DF,20.0,6,5,459,0,0
2010-2011,Sergi Roberto,es ESP,"DF,MF",18.0,1,1,90,0,0
2010-2011,Jonathan dos Santos,mx MEX,MF,20.0,2,1,88,0,0
2010-2011,Martín Montoya,es ESP,DF,19.0,2,1,17,0,0
2010-2011,Nolito,es ESP,"FW,MF",23.0,2,0,16,0,0
2010-2011,Oriol Romeu,es ESP,MF,18.0,1,0,10,0,0
2011-2012,Lionel Messi,ar ARG,"FW,MF",24.0,37,36,3270,50,16
2011-2012,Alexis Sánchez,cl CHI,"FW,MF",22.0,25,20,1666,12,4
2011-2012,Xavi,es ESP,MF,31.0,31,26,2159,10,6
2011-2012,Cesc Fàbregas,es ESP,"FW,MF",24.0,28,23,1931,9,7
2011-2012,Pedro,es ESP,"FW,MF",24.0,29,20,1621,5,3
2011-2012,David Villa,es ESP,"FW,MF",29.0,15,8,899,5,1
2011-2012,Carles Puyol,es ESP,DF,33.0,26,23,1912,3,0
2011-2012,Seydou Keita,ml MLI,MF,31.0,26,14,1348,3,2
2011-2012,Cristian Tello,es ESP,"FW,MF",19.0,15,3,456,3,0
2011-2012,Dani Alves,br BRA,"DF,MF",28.0,33,29,2674,2,9
2011-2012,Andrés Iniesta,es ESP,MF,27.0,27,21,1853,2,9
2011-2012,Thiago Alcántara,es ESP,MF,20.0,27,20,1825,2,2
2011-2012,Gerard Piqué,es ESP,DF,24.0,22,17,1473,2,0
2011-2012,Isaac Cuenca,es ESP,"FW,MF",20.0,16,11,1076,2,3
2011-2012,Sergio Busquets,es ESP,MF,23.0,31,28,2434,1,1
2011-2012,Adriano,br BRA,"DF,MF",26.0,26,20,1722,1,4
2011-2012,Víctor Valdés,es ESP,GK,29.0,35,35,3150,0,0
2011-2012,Javier Mascherano,ar ARG,"DF,MF",27.0,31,30,2737,0,0
2011-2012,Éric Abidal,fr FRA,DF,31.0,22,20,1762,0,1
2011-2012,Maxwell,br BRA,DF,29.0,7,4,426,0,0
2011-2012,Martín Montoya,es ESP,DF,20.0,7,3,375,0,1
