season,player,nation,pos,age,mp,starts,min,goals,assists
2016-2017,Javier Mascherano,ar ARG,"DF,MF",32.0,8,7,642,0,0
2016-2017,Jordi Alba,es ESP,DF,27.0,6,6,436,0,0
2016-2017,André Gomes,pt POR,MF,23.0,8,5,464,0,0
2016-2017,Lucas Digne,fr FRA,DF,23.0,4,2,284,0,0
2016-2017,Paco Alcácer,es ESP,FW,22.0,3,2,176,0,0
2016-2017,Rafinha,br BRA,MF,23.0,6,1,216,0,0
2016-2017,Jasper Cillessen,nl NED,GK,27.0,1,1,90,0,0
2016-2017,Denis Suárez,es ESP,MF,22.0,1,1,90,0,0
2016-2017,Aleix Vidal,es ESP,DF,26.0,1,1,90,0,0
2016-2017,Jérémy Mathieu,fr FRA,DF,32.0,2,1,80,0,0
2016-2017,Marlon,br BRA,"DF,MF",20.0,1,0,18,0,0
2016-2017,Marc Cardona,es ESP,FW,21.0,1,0,16,0,0
2016-2017,Carles Aleñá,es ESP,MF,18.0,0,0,0,0,0
2016-2017,Jordi Masip,es ESP,GK,27.0,0,0,0,0,0
2016-2017,Nili,es ESP,DF,22.0,0,0,0,0,0
2017-2018,Lionel Messi,ar ARG,FW,30.0,10,8,783,6,2
2017-2018,Luis Suárez,uy URU,FW,30.0,10,10,884,1,5
2017-2018,Gerard Piqué,es ESP,DF,30.0,9,9,736,1,0
2017-2018,Ivan Rakitić,hr CRO,MF,29.0,10,8,758,1,0
2017-2018,Lucas Digne,fr FRA,DF,24.0,3,3,270,1,0
2017-2018,Ousmane Dembélé,fr FRA,"MF,FW",20.0,3,2,143,1,0
2017-2018,Paco Alcácer,es ESP,FW,23.0,2,1,95,1,0
2017-2018,Marc-André ter Stegen,de GER,GK,25.0,9,9,810,0,0
2017-2018,Samuel Umtiti,fr FRA,DF,23.0,9,9,810,0,0
2017-2018,Sergio Busquets,es ESP,MF,29.0,10,9,768,0,0
2017-2018,Andrés Iniesta,es ESP,MF,33.0,8,8,624,0,3
2017-2018,Jordi Alba,es ESP,DF,28.0,8,7,638,0,0
2017-2018,Nélson Semedo,pt POR,DF,23.0,7,7,625,0,0
2017-2018,Sergi Roberto,es ESP,"MF,DF",25.0,8,7,594,0,0
2017-2018,Paulinho,br BRA,MF,29.0,9,4,401,0,0
2017-2018,Denis Suárez,es ESP,MF,23.0,3,2,170,0,1
